# present_mode=fifo toggle_frames=24 monitor=1
# timestamps are CLOCK_MONOTONIC nanoseconds
toggle_idx,frame_idx,white,t_cmd_ns,t_present_ret_ns
166,3984,1,634103912750656,634103916919034
167,4008,0,634104013062021,634104016880691
168,4032,1,634104112748941,634104116883723
169,4056,0,634104212743127,634104216875612
170,4080,1,634104312738571,634104316894928
171,4104,0,634104412738239,634104416898742
172,4128,1,634104525734695,634104525793220
173,4152,0,634104612876802,634104616897217
174,4176,1,634104712855627,634104716900301
175,4200,0,634104812821851,634104816887890
176,4224,1,634104912848336,634104916918123
177,4248,0,634105012861706,634105016906618
178,4272,1,634105112869230,634105117305535
179,4296,0,634105212860999,634105216897251
180,4320,1,634105313724135,634105316883678
181,4344,0,634105412829767,634105416871473
182,4368,1,634105512845918,634105517730165
183,4392,0,634105612733652,634105616988584
184,4416,1,634105712729147,634105716977936
185,4440,0,634105812857338,634105816881549
186,4464,1,634105912850098,634105916878801
187,4488,0,634106012736138,634106016985687
188,4512,1,634106112717419,634106116998382
189,4536,0,634106212702970,634106218061156
190,4560,1,634106312712201,634106317007424
191,4584,0,634106412725558,634106416981897
192,4608,1,634106512716203,634106516905343
193,4632,0,634106612702702,634106616867139
194,4656,1,634106712722523,634106716877475
195,4680,0,634106812718871,634106816879348
196,4704,1,634106912692584,634106916860148
197,4728,0,634107012693769,634107016854627
198,4752,1,634107112690087,634107117895764
199,4776,0,634107212696888,634107216863303
200,4800,1,634107312689535,634107316837267
201,4824,0,634107412725497,634107416939704
202,4848,1,634107512824296,634107516841823
203,4872,0,634107612831173,634107616843425
204,4896,1,634107712820460,634107716838683
205,4920,0,634107812804073,634107816847271
206,4944,1,634107912699226,634107916835350
207,4968,0,634108012793097,634108016829828
208,4992,1,634108112811633,634108116839945
209,5016,0,634108212802886,634108216863659
210,5040,1,634108312795525,634108316864064
211,5064,0,634108412685760,634108416850498
212,5088,1,634108512681053,634108516826111
213,5112,0,634108612691027,634108616823536
214,5136,1,634108712691858,634108716835497
215,5160,0,634108812645361,634108816833590
216,5184,1,634108912684257,634108916819346
217,5208,0,634109012638616,634109016824673
218,5232,1,634109112665972,634109116825122
219,5256,0,634109212648983,634109216792890
220,5280,1,634109329898704,634109329981839
221,5304,0,634109412662442,634109416818698
222,5328,1,634109512647849,634109516808413
223,5352,0,634109612633155,634109616819310
224,5376,1,634109712658371,634109716817311
225,5400,0,634109812717615,634109816828086
226,5424,1,634109912649618,634109916805824
227,5448,0,634110012652958,634110016779616
228,5472,1,634110112643634,634110116814190
229,5496,0,634110212648518,634110216811812
230,5520,1,634110312626521,634110316803547
231,5544,0,634110412652220,634110416938091
232,5568,1,634110512636261,634110516928267
233,5592,0,634110612657718,634110616926799
234,5616,1,634110712627814,634110716929759
235,5640,0,634110812621398,634110816953207
236,5664,1,634110912604673,634110917067746
237,5688,0,634111012630430,634111016783215
238,5712,1,634111113839135,634111116781778
239,5736,0,634111212632436,634111216791548
240,5760,1,634111312628704,634111316812535
241,5784,0,634111412649294,634111416797387
242,5808,1,634111512636484,634111517336678
243,5832,0,634111612636435,634111616764079
244,5856,1,634111712615246,634111716783963
245,5880,0,634111812632029,634111816760326
246,5904,1,634111912608439,634111916761504
247,5928,0,634112012603982,634112016778627
248,5952,1,634112112606062,634112116737627
249,5976,0,634112212601446,634112216877130
250,6000,1,634112312605776,634112316815451
251,6024,0,634112412618600,634112416885881
252,6048,1,634112512605068,634112516883488
253,6072,0,634112612679421,634112616869591
254,6096,1,634112712592322,634112716721795
255,6120,0,634112812602722,634112816804068
256,6144,1,634112912671388,634112916777697
257,6168,0,634113012677899,634113016902923
258,6192,1,634113112669496,634113116764125
259,6216,0,634113212658127,634113216833792
260,6240,1,634113312640465,634113316799775
261,6264,0,634113412656287,634113416806267
262,6288,1,634113512636147,634113516794320
263,6312,0,634113612629561,634113618017171
264,6336,1,634113712629698,634113716793270
265,6360,0,634113812630192,634113816799261
266,6384,1,634113912624290,634113916784310
267,6408,0,634114012625674,634114016786565
268,6432,1,634114129638834,634114129710980
269,6456,0,634114212622363,634114216788188
270,6480,1,634114312641465,634114316792916
271,6504,0,634114412639422,634114416773349
272,6528,1,634114512684538,634114516769632
273,6552,0,634114612861282,634114616801547
274,6576,1,634114712611300,634114716774552
275,6600,0,634114812609561,634114816766925
276,6624,1,634114912610929,634114917346957
277,6648,0,634115012630362,634115016791738
278,6672,1,634115112609380,634115116876817
279,6696,0,634115212646697,634115216884344
280,6720,1,634115312707973,634115316736326
281,6744,0,634115412572624,634115416842164
282,6768,1,634115514071069,634115516853926
283,6792,0,634115612510629,634115616818603
284,6816,1,634115712545502,634115716838178
285,6840,0,634115812561151,634115816837943
286,6864,1,634115912530679,634115916829377
287,6888,0,634116012534753,634116016851379
288,6912,1,634116112552414,634116116795047
289,6936,0,634116212686676,634116216708640
290,6960,1,634116312558626,634116316707443
291,6984,0,634116412560204,634116416721333
292,7008,1,634116512561182,634116516702863
293,7032,0,634116612559148,634116616706741
294,7056,1,634116712549378,634116716701996
295,7080,0,634116812556991,634116816684406
296,7104,1,634116912542510,634116916725269
297,7128,0,634117013325712,634117016739808
298,7152,1,634117112532258,634117117306135
299,7176,0,634117212532630,634117216695036
300,7200,1,634117313340149,634117316701931
