toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
161,0,634103412788983,634103442270615,29.482
162,1,634103512890340,634103544278405,31.388
163,0,634103612748252,634103642257522,29.509
164,1,634103712788037,634103744253501,31.465
165,0,634103812769834,634103842250547,29.481
166,1,634103912750656,634103944220002,31.469
167,0,634104013062021,634104042222893,29.161
168,1,634104112748941,634104144225112,31.476
169,0,634104212743127,634104242283884,29.541
170,1,634104312738571,634104344247744,31.509
171,0,634104412738239,634104442275829,29.538
172,1,634104525734695,634104544276493,18.542
173,0,634104612876802,634104642271092,29.394
174,1,634104712855627,634104744228025,31.372
175,0,634104812821851,634104842259918,29.438
176,1,634104912848336,634104944246925,31.399
177,0,634105012861706,634105042248024,29.386
178,1,634105112869230,634105144238521,31.369
179,0,634105212860999,634105242217831,29.357
180,1,634105313724135,634105344252895,30.529
181,0,634105412829767,634105442260264,29.430
182,1,634105512845918,634105544281817,31.436
183,0,634105612733652,634105642272517,29.539
184,1,634105712729147,634105744264428,31.535
185,0,634105812857338,634105842250502,29.393
186,1,634105912850098,634105944272985,31.423
187,0,634106012736138,634106042269674,29.534
188,1,634106112717419,634106144284025,31.567
189,0,634106212702970,634106242294124,29.591
190,1,634106312712201,634106344280656,31.568
191,0,634106412725558,634106442165938,29.440
192,1,634106512716203,634106544257018,31.541
193,0,634106612702702,634106642249940,29.547
194,1,634106712722523,634106744202574,31.480
195,0,634106812718871,634106842244411,29.526
196,1,634106912692584,634106944249635,31.557
197,0,634107012693769,634107042284900,29.591
198,1,634107112690087,634107144295111,31.605
199,0,634107212696888,634107242254405,29.558
200,1,634107312689535,634107344230839,31.541
201,0,634107412725497,634107442258368,29.533
202,1,634107512824296,634107544231398,31.407
203,0,634107612831173,634107642255582,29.424
204,1,634107712820460,634107744226596,31.406
205,0,634107812804073,634107842251930,29.448
206,1,634107912699226,634107944250893,31.552
207,0,634108012793097,634108042252711,29.460
208,1,634108112811633,634108144232442,31.421
209,0,634108212802886,634108242283311,29.480
210,1,634108312795525,634108344230664,31.435
211,0,634108412685760,634108442229366,29.544
212,1,634108512681053,634108544289732,31.609
213,0,634108612691027,634108642256318,29.565
214,1,634108712691858,634108744304457,31.613
215,0,634108812645361,634108842287985,29.643
216,1,634108912684257,634108944290199,31.606
217,0,634109012638616,634109042284226,29.646
218,1,634109112665972,634109144303397,31.637
219,0,634109212648983,634109242293045,29.644
220,1,634109329898704,634109344297774,14.399
221,0,634109412662442,634109442268844,29.606
222,1,634109512647849,634109544236490,31.589
223,0,634109612633155,634109642256952,29.624
224,1,634109712658371,634109744284174,31.626
225,0,634109812717615,634109842286564,29.569
226,1,634109912649618,634109944270451,31.621
227,0,634110012652958,634110042270881,29.618
228,1,634110112643634,634110144219290,31.576
229,0,634110212648518,634110242298290,29.650
230,1,634110312626521,634110344288911,31.662
231,0,634110412652220,634110442292522,29.640
232,1,634110512636261,634110544264657,31.628
233,0,634110612657718,634110642260673,29.603
234,1,634110712627814,634110744273290,31.645
235,0,634110812621398,634110842262284,29.641
236,1,634110912604673,634110944278780,31.674
237,0,634111012630430,634111042199926,29.569
238,1,634111113839135,634111144270993,30.432
239,0,634111212632436,634111242216165,29.584
240,1,634111312628704,634111344259427,31.631
241,0,634111412649294,634111442231461,29.582
242,1,634111512636484,634111544276380,31.640
243,0,634111612636435,634111642257729,29.621
244,1,634111712615246,634111744268629,31.653
245,0,634111812632029,634111842275020,29.643
246,1,634111912608439,634111944234941,31.627
247,0,634112012603982,634112042262038,29.658
248,1,634112112606062,634112144281118,31.675
249,0,634112212601446,634112242199667,29.598
250,1,634112312605776,634112344263427,31.658
251,0,634112412618600,634112442262877,29.644
252,1,634112512605068,634112544290758,31.686
253,0,634112612679421,634112642283732,29.604
254,1,634112712592322,634112744303074,31.711
255,0,634112812602722,634112842285903,29.683
256,1,634112912671388,634112944296044,31.625
257,0,634113012677899,634113042260830,29.583
258,1,634113112669496,634113144300169,31.631
259,0,634113212658127,634113242289754,29.632
260,1,634113312640465,634113344274944,31.634
261,0,634113412656287,634113442225176,29.569
262,1,634113512636147,634113544277090,31.641
263,0,634113612629561,634113642214955,29.585
264,1,634113712629698,634113744273357,31.644
265,0,634113812630192,634113842264058,29.634
266,1,634113912624290,634113944314775,31.690
267,0,634114012625674,634114042296042,29.670
268,1,634114129638834,634114144314657,14.676
269,0,634114212622363,634114242295433,29.673
270,1,634114312641465,634114344240948,31.599
271,0,634114412639422,634114442304627,29.665
272,1,634114512684538,634114544286442,31.602
273,0,634114612861282,634114642287513,29.426
274,1,634114712611300,634114744261926,31.651
275,0,634114812609561,634114842292287,29.683
276,1,634114912610929,634114944308688,31.698
277,0,634115012630362,634115042291583,29.661
278,1,634115112609380,634115144269741,31.660
279,0,634115212646697,634115242303451,29.657
280,1,634115312707973,634115344278095,31.570
281,0,634115412572624,634115442308313,29.736
282,1,634115514071069,634115544280616,30.210
283,0,634115612510629,634115642306505,29.796
284,1,634115712545502,634115744292607,31.747
285,0,634115812561151,634115842290025,29.729
286,1,634115912530679,634115944315163,31.784
287,0,634116012534753,634116042288159,29.753
288,1,634116112552414,634116144317699,31.765
289,0,634116212686676,634116242281196,29.595
290,1,634116312558626,634116344334647,31.776
291,0,634116412560204,634116442296339,29.736
292,1,634116512561182,634116544304569,31.743
293,0,634116612559148,634116642277019,29.718
294,1,634116712549378,634116744305663,31.756
295,0,634116812556991,634116842301626,29.745
296,1,634116912542510,634116944296845,31.754
297,0,634117013325712,634117042216486,28.891
298,1,634117112532258,634117144275218,31.743
299,0,634117212532630,634117242307588,29.775
