toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
161,0,633919728605763,633919775024947,46.419
162,1,633919828651630,633919877017568,48.366
163,0,633919928632448,633919974992479,46.360
164,1,633920028658917,633920077013462,48.355
165,0,633920128645137,633920175005748,46.361
166,1,633920228627957,633920277003413,48.375
167,0,633920328650036,633920375037284,46.387
168,1,633920428617158,633920477008824,48.392
169,0,633920528617580,633920575002960,46.385
170,1,633920628637118,633920677024942,48.388
171,0,633920728637217,633920775027258,46.390
172,1,633920828606761,633920877010404,48.404
173,0,633920928583529,633920975027159,46.444
174,1,633921028637734,633921077027751,48.390
175,0,633921128593392,633921174710814,46.117
176,1,633921228635583,633921277020147,48.385
177,0,633921330252403,633921375034748,44.782
178,1,633921428601343,633921477015115,48.414
179,0,633921528625554,633921574230186,45.605
180,1,633921628587967,633921677020344,48.432
181,0,633921728642455,633921774147349,45.505
182,1,633921828614081,633921876928351,48.314
183,0,633921928617718,633921973987738,45.370
184,1,633922028587787,633922076964052,48.376
185,0,633922128591713,633922174037484,45.446
186,1,633922228529769,633922277028099,48.498
187,0,633922328585772,633922374024555,45.439
188,1,633922428581312,633922477015604,48.434
189,0,633922528588621,633922574048527,45.460
190,1,633922628575665,633922677048828,48.473
191,0,633922728516602,633922774040638,45.524
192,1,633922828520142,633922877007371,48.487
193,0,633922928543066,633922973977708,45.435
194,1,633923028518025,633923077006114,48.488
195,0,633923128512343,633923174032570,45.520
196,1,633923228508622,633923277020804,48.512
197,0,633923328490171,633923374036199,45.546
198,1,633923428477380,633923477020608,48.543
199,0,633923528500661,633923574009547,45.509
200,1,633923628521077,633923676955783,48.435
201,0,633923728524142,633923774007922,45.484
202,1,633923828507485,633923877023019,48.516
203,0,633923928494476,633923973998802,45.504
204,1,633924028479079,633924076991486,48.512
205,0,633924129166706,633924174001575,44.835
206,1,633924228491877,633924276966814,48.475
207,0,633924328498292,633924373984918,45.487
208,1,633924428507942,633924476938157,48.430
209,0,633924528515009,633924578978700,50.464
210,1,633924628501905,633924680957776,52.456
211,0,633924728506844,633924778949611,50.443
212,1,633924828512981,633924880964434,52.451
213,0,633924928507519,633924979029295,50.522
214,1,633925028501037,633925081027855,52.527
215,0,633925128489881,633925161979027,33.489
216,1,633925228496704,633925280970648,52.474
217,0,633925328491050,633925378976131,50.485
218,1,633925428496656,633925464014063,35.517
219,0,633925528478082,633925561980333,33.502
220,1,633925628486160,633925663957832,35.472
221,0,633925728526978,633925761986756,33.460
222,1,633925828467675,633925864052515,35.585
223,0,633925928495055,633925962055900,33.561
224,1,633926028469992,633926063975105,35.505
225,0,633926128484747,633926162012670,33.528
226,1,633926228443344,633926263974321,35.531
227,0,633926328441836,633926361963733,33.522
228,1,633926428460650,633926463939600,35.479
229,0,633926528435319,633926561975857,33.541
230,1,633926628476699,633926663966427,35.490
231,0,633926728462850,633926762031627,33.569
232,1,633926828463898,633926864036621,35.573
233,0,633926928428503,633926962042547,33.614
234,1,633927028434746,633927063997490,35.563
235,0,633927128455448,633927162035765,33.580
236,1,633927228458776,633927264018752,35.560
237,0,633927329419582,633927362024923,32.605
238,1,633927428530057,633927464025896,35.496
239,0,633927528452038,633927562030066,33.578
240,1,633927628604019,633927664016139,35.412
241,0,633927728452087,633927762025701,33.574
242,1,633927828426201,633927864006146,35.580
243,0,633927928422433,633927961998872,33.576
244,1,633928028423292,633928063966079,35.543
245,0,633928128424478,633928161951740,33.527
246,1,633928228423013,633928263966443,35.543
247,0,633928328399971,633928361980910,33.581
248,1,633928428406462,633928463961356,35.555
249,0,633928528426959,633928561972268,33.545
250,1,633928628441933,633928664017161,35.575
251,0,633928728433649,633928762066085,33.632
252,1,633928828426937,633928864025850,35.599
253,0,633928928424197,633928961975119,33.551
254,1,633929028448260,633929063996313,35.548
255,0,633929128427532,633929162005791,33.578
256,1,633929228442102,633929263961074,35.519
257,0,633929328491865,633929361975909,33.484
258,1,633929428386597,633929463969815,35.583
259,0,633929528449692,633929566041134,37.591
260,1,633929628365951,633929668009656,39.644
261,0,633929728387399,633929766039946,37.653
262,1,633929828830395,633929867999949,39.170
263,0,633929928426421,633929966003984,37.578
264,1,633930028395410,633930068010896,39.615
265,0,633930128370914,633930166035802,37.665
266,1,633930228488892,633930268026414,39.538
267,0,633930328364809,633930366032705,37.668
268,1,633930428366192,633930468016444,39.650
269,0,633930529202471,633930566026623,36.824
270,1,633930628375309,633930668001034,39.626
271,0,633930728379080,633930766016024,37.637
272,1,633930828368021,633930867990850,39.623
273,0,633930928420147,633930965994532,37.574
274,1,633931028396227,633931067979101,39.583
275,0,633931128389622,633931166002832,37.613
276,1,633931228378844,633931267957997,39.579
277,0,633931328376359,633931366041936,37.666
278,1,633931428374406,633931467998104,39.624
279,0,633931528385903,633931565983938,37.598
280,1,633931628378644,633931667993598,39.615
281,0,633931728372941,633931766018166,37.645
282,1,633931828356595,633931868022973,39.666
283,0,633931928370365,633931966038786,37.668
284,1,633932028341641,633932068001546,39.660
285,0,633932128353548,633932166028950,37.675
286,1,633932228366457,633932268027455,39.661
287,0,633932328361022,633932366030577,37.670
288,1,633932428380744,633932467994159,39.613
289,0,633932528358035,633932566030898,37.673
290,1,633932628313903,633932668038570,39.725
291,0,633932728349649,633932766042087,37.692
292,1,633932828361169,633932867970474,39.609
293,0,633932928332146,633932966006457,37.674
294,1,633933028349975,633933068013172,39.663
295,0,633933128354718,633933166012029,37.657
296,1,633933228405108,633933268007873,39.603
297,0,633933328335721,633933366007582,37.672
298,1,633933428330731,633933468028185,39.697
299,0,633933528329024,633933566031476,37.702
