# present_mode=immediate toggle_frames=400 monitor=1
# timestamps are CLOCK_MONOTONIC nanoseconds
toggle_idx,frame_idx,white,t_cmd_ns,t_present_ret_ns
164,65600,1,633779858399474,633779858627823
165,66000,0,633779960583019,633779960816870
166,66400,1,633780060922537,633780061154839
167,66800,0,633780162354622,633780162583679
168,67200,1,633780263567676,633780263797475
169,67600,0,633780363993781,633780364251883
170,68000,1,633780464267418,633780464504179
171,68400,0,633780565892348,633780565936849
172,68800,1,633780664983412,633780665216377
173,69200,0,633780765761353,633780765965688
174,69600,1,633780865345230,633780865575864
175,70000,0,633780966620503,633780966852038
176,70400,1,633781067678735,633781067726385
177,70800,0,633781166747601,633781166977418
178,71200,1,633781266721376,633781267438452
179,71600,0,633781367287737,633781367543085
180,72000,1,633781466970470,633781467201196
181,72400,0,633781566956723,633781567183487
182,72800,1,633781667470661,633781667698706
183,73200,0,633781767975874,633781768262458
184,73600,1,633781867983561,633781868214384
185,74000,0,633781969432918,633781969662723
186,74400,1,633782070379695,633782070424379
187,74800,0,633782170014868,633782170241751
188,75200,1,633782270437411,633782270687378
189,75600,0,633782370593213,633782370809212
190,76000,1,633782471205376,633782471437009
191,76400,0,633782571274594,633782571504235
192,76800,1,633782671918990,633782672150987
193,77200,0,633782772623167,633782772861339
194,77600,1,633782871643485,633782871874019
195,78000,0,633782974427338,633782974658934
196,78400,1,633783074672628,633783074905068
197,78800,0,633783175575749,633783175806673
198,79200,1,633783276608965,633783276840823
199,79600,0,633783375667725,633783375895304
200,80000,1,633783476424520,633783476654055
201,80400,0,633783576029295,633783576317784
202,80800,1,633783676561701,633783676794591
203,81200,0,633783777135937,633783777364003
204,81600,1,633783876446442,633783876689137
205,82000,0,633783978035489,633783978266086
206,82400,1,633784077953025,633784078184358
207,82800,0,633784177909953,633784178139083
208,83200,1,633784279477052,633784279682604
209,83600,0,633784378798945,633784379031966
210,84000,1,633784479262269,633784479462938
211,84400,0,633784578963509,633784579192439
212,84800,1,633784679655553,633784679883571
213,85200,0,633784780385979,633784780617546
214,85600,1,633784880298620,633784880524867
215,86000,0,633784981663753,633784981893054
216,86400,1,633785081600996,633785081829690
217,86800,0,633785182221137,633785182452329
218,87200,1,633785282127722,633785282326867
219,87600,0,633785381946957,633785382186118
220,88000,1,633785482877105,633785483143019
221,88400,0,633785582929425,633785583162009
222,88800,1,633785683410353,633785683645762
223,89200,0,633785784264571,633785784465026
224,89600,1,633785884154611,633785884388789
225,90000,0,633785985473613,633785985702651
226,90400,1,633786085193980,633786085428673
227,90800,0,633786186302446,633786186579642
228,91200,1,633786286562701,633786286789119
229,91600,0,633786385920535,633786386154463
230,92000,1,633786486494864,633786486725665
231,92400,0,633786586480439,633786586710881
232,92800,1,633786687139091,633786687371053
233,93200,0,633786788023149,633786788257903
234,93600,1,633786887804852,633786888041038
235,94000,0,633786989429395,633786989668002
236,94400,1,633787089407376,633787089645147
237,94800,0,633787189678318,633787189908302
238,95200,1,633787291182081,633787291224767
239,95600,0,633787390435796,633787390663147
240,96000,1,633787491288044,633787491527915
241,96400,0,633787591265452,633787591492642
242,96800,1,633787691868562,633787692449696
243,97200,0,633787793364297,633787793433716
244,97600,1,633787892682662,633787892911027
245,98000,0,633787994685250,633787994882880
246,98400,1,633788094359156,633788094590269
247,98800,0,633788194114842,633788194346076
248,99200,1,633788295166499,633788295393815
249,99600,0,633788395349020,633788395579273
250,100000,1,633788496301114,633788496536548
251,100400,0,633788596480548,633788596708606
252,100800,1,633788697432195,633788697659528
253,101200,0,633788798199367,633788798428681
254,101600,1,633788898435614,633788898663373
255,102000,0,633789000197488,633789000427462
256,102400,1,633789101102622,633789101326901
257,102800,0,633789201308573,633789201539423
258,103200,1,633789301917972,633789302155849
259,103600,0,633789403559395,633789403715556
260,104000,1,633789503008325,633789503232281
261,104400,0,633789604082832,633789604355599
262,104800,1,633789704277302,633789704466592
263,105200,0,633789804914243,633789805150544
264,105600,1,633789905768018,633789906006679
265,106000,0,633790006802384,633790007032222
266,106400,1,633790106779789,633790107012587
267,106800,0,633790206758843,633790206987665
268,107200,1,633790307641158,633790307874480
269,107600,0,633790408475758,633790408682441
270,108000,1,633790508403270,633790508633570
271,108400,0,633790609256440,633790609488362
272,108800,1,633790708390812,633790708622195
273,109200,0,633790808896536,633790809129119
274,109600,1,633790910302393,633790910349784
275,110000,0,633791010632096,633791010865527
276,110400,1,633791110759240,633791111016453
277,110800,0,633791209990458,633791210226010
278,111200,1,633791310722151,633791310946411
279,111600,0,633791412278525,633791412324926
280,112000,1,633791511615149,633791511940758
281,112400,0,633791612417321,633791612619436
282,112800,1,633791712161817,633791712353589
283,113200,0,633791812615358,633791812874672
284,113600,1,633791913379547,633791913574836
285,114000,0,633792014158253,633792014389612
286,114400,1,633792114206405,633792114468906
287,114800,0,633792213444294,633792213676422
288,115200,1,633792314055989,633792314287697
289,115600,0,633792414636947,633792414861144
290,116000,1,633792514702804,633792514938287
291,116400,0,633792615379926,633792615609690
292,116800,1,633792715307119,633792715568648
293,117200,0,633792816180186,633792816422015
294,117600,1,633792917402069,633792917608825
295,118000,0,633793018324788,633793018562570
296,118400,1,633793118357518,633793118591183
297,118800,0,633793219183759,633793219442921
