toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
161,0,634154972983906,634154978362629,5.379
162,1,634155059698878,634155068341764,8.643
163,0,634155145813592,634155153288886,7.475
164,1,634155232065263,634155243336447,11.271
165,0,634155320271836,634155328336218,8.064
166,1,634155406432008,634155414323686,7.892
167,0,634155494195110,634155503327178,9.132
168,1,634155581235520,634155589377851,8.142
169,0,634155667245509,634155674392948,7.147
170,1,634155753763672,634155764341417,10.578
171,0,634155840249872,634155849361958,9.112
172,1,634155927196724,634155935380530,8.184
173,0,634156014882826,634156020301324,5.418
174,1,634156101222132,634156110318482,9.096
175,0,634156187330841,634156195299820,7.969
176,1,634156274090522,634156285385334,11.295
177,0,634156360746067,634156370391876,9.646
178,1,634156448608796,634156460371179,11.762
179,0,634156535007918,634156541336277,6.328
180,1,634156621660500,634156631306220,9.646
181,0,634156709189727,634156716298494,7.109
182,1,634156795728122,634156806364040,10.636
183,0,634156881736766,634156891364847,9.628
184,1,634156968242570,634156977365038,9.122
185,0,634157054862826,634157062375475,7.513
186,1,634157141195074,634157152304251,11.109
187,0,634157227541941,634157237305135,9.763
188,1,634157314391381,634157322412944,8.022
189,0,634157402946551,634157407357266,4.411
190,1,634157488941488,634157497367102,8.426
191,0,634157575261166,634157582335205,7.074
192,1,634157661409551,634157672357167,10.948
193,0,634157748938861,634157757327100,8.388
194,1,634157835584166,634157843343263,7.759
195,0,634157921912830,634157928358769,6.446
196,1,634158008128701,634158018311304,10.183
197,0,634158096745398,634158103359099,6.614
198,1,634158182330909,634158193327885,10.997
199,0,634158269127483,634158278334276,9.207
200,1,634158357100773,634158368341999,11.241
201,0,634158442961734,634158449300130,6.338
202,1,634158529665576,634158539344766,9.679
203,0,634158616287463,634158624314840,8.027
204,1,634158703457436,634158714283748,10.826
205,0,634158789595890,634158795338172,5.742
206,1,634158876862308,634158885332672,8.470
207,0,634158963682220,634158970389776,6.708
208,1,634159051224232,634159060357215,9.133
209,0,634159137852985,634159145341683,7.489
210,1,634159224408423,634159235348866,10.940
211,0,634159312956493,634159320306623,7.350
212,1,634159401705425,634159410351320,8.646
213,0,634159488763548,634159495370956,6.607
214,1,634159575575708,634159585371281,9.796
215,0,634159662762714,634159670316216,7.554
216,1,634159751031249,634159760379295,9.348
217,0,634159837623004,634159845384232,7.761
218,1,634159924102148,634159935366723,11.265
219,0,634160010348163,634160016391150,6.043
220,1,634160097150377,634160106342778,9.192
221,0,634160184271716,634160191333642,7.062
222,1,634160272196612,634160281349262,9.153
223,0,634160359334549,634160366374229,7.040
224,1,634160447306415,634160456371344,9.065
225,0,634160533359160,634160541366393,8.007
226,1,634160620167356,634160631317226,11.150
227,0,634160706563705,634160716317283,9.754
228,1,634160793700638,634160801393046,7.692
229,0,634160879923981,634160887337054,7.413
230,1,634160966200645,634160976954275,10.754
231,0,634161052798091,634161062197863,9.400
232,1,634161139222087,634161147335165,8.113
233,0,634161226891518,634161232372131,5.481
234,1,634161314668877,634161322344872,7.676
235,0,634161401634969,634161407318564,5.684
236,1,634161488134816,634161497324274,9.189
237,0,634161574039959,634161582362571,8.323
238,1,634161660850141,634161672367765,11.518
239,0,634161748594711,634161757351421,8.757
240,1,634161834647847,634161843383029,8.735
241,0,634161920548742,634161928343837,7.795
242,1,634162007645817,634162018343522,10.698
243,0,634162094431195,634162103339026,8.908
244,1,634162182999777,634162193369408,10.370
245,0,634162269544475,634162278371360,8.827
246,1,634162356284958,634162364350472,8.066
247,0,634162442604138,634162449381985,6.778
248,1,634162529323549,634162539378948,10.055
249,0,634162616152343,634162624400208,8.248
250,1,634162702690501,634162714331019,11.641
251,0,634162789345455,634162795403692,6.058
252,1,634162876182549,634162885412194,9.230
253,0,634162964145872,634162970333404,6.188
254,1,634163049721053,634163060325354,10.604
255,0,634163137287571,634163145347935,8.060
256,1,634163224826805,634163235381384,10.555
257,0,634163311805091,634163320343679,8.539
258,1,634163398566494,634163410329893,11.763
259,0,634163484684838,634163491331397,6.647
260,1,634163571392806,634163581359345,9.967
261,0,634163657938434,634163666385970,8.448
262,1,634163746842575,634163756360537,9.518
263,0,634163832759305,634163841356352,8.597
264,1,634163919476142,634163931352319,11.876
265,0,634164005417169,634164011351706,5.935
266,1,634164091848849,634164101306836,9.458
267,0,634164180043844,634164186329083,6.285
268,1,634164266163254,634164276399433,10.236
269,0,634164352908687,634164361346868,8.438
270,1,634164441667001,634164451358103,9.691
271,0,634164527161002,634164536310765,9.150
272,1,634164613959470,634164622366753,8.407
273,0,634164700454526,634164707399297,6.945
274,1,634164787081645,634164797344719,10.263
275,0,634164874257993,634164882346974,8.089
276,1,634164960385426,634164968320660,7.935
277,0,634165047682507,634165053352434,5.670
278,1,634165134649968,634165143335840,8.686
279,0,634165223041206,634165228323058,5.282
280,1,634165309092654,634165318381388,9.289
281,0,634165395311526,634165403334875,8.023
282,1,634165481830713,634165493362966,11.532
283,0,634165568362393,634165574320445,5.958
284,1,634165655441737,634165664365267,8.924
285,0,634165741942290,634165749326109,7.384
286,1,634165828378565,634165839360426,10.982
287,0,634165915297589,634165924339729,9.042
288,1,634166002194924,634166010350173,8.155
289,0,634166089696656,634166095298538,5.602
290,1,634166176169478,634166185309040,9.140
291,0,634166263633284,634166270363131,6.730
292,1,634166351018234,634166360339353,9.321
293,0,634166438029975,634166445332347,7.302
294,1,634166525152545,634166535371944,10.219
295,0,634166611846514,634166620356050,8.510
296,1,634166699219572,634166710377072,11.158
297,0,634166785852407,634166795329225,9.477
298,1,634166872420519,634166881328205,8.908
299,0,634166958911478,634166966331036,7.420
300,1,634167047159873,634167056325379,9.166
301,0,634167135517017,634167141379825,5.863
302,1,634167221659690,634167231337018,9.677
303,0,634167307854337,634167316319955,8.466
304,1,634167394791667,634167406341467,11.550
305,0,634167481644121,634167491394089,9.750
306,1,634167568467133,634167576368070,7.901
307,0,634167654915299,634167661324523,6.409
308,1,634167741539905,634167751339056,9.799
309,0,634167827648546,634167836352999,8.704
310,1,634167915178902,634167926361370,11.182
311,0,634168004287571,634168011355555,7.068
312,1,634168090651206,634168101362994,10.712
313,0,634168177172270,634168182356228,5.184
314,1,634168263864173,634168272359137,8.495
315,0,634168350659863,634168357297660,6.638
316,1,634168437147052,634168447416517,10.269
317,0,634168523398762,634168532364392,8.966
318,1,634168610849168,634168622360064,11.511
319,0,634168697308677,634168703360172,6.051
320,1,634168784514395,634168793358485,8.844
321,0,634168870796713,634168878364805,7.568
322,1,634168958181341,634168968367069,10.186
323,0,634169045293929,634169053370054,8.076
324,1,634169131387292,634169143359081,11.972
325,0,634169217761234,634169224360743,6.600
326,1,634169305655076,634169314403011,8.748
327,0,634169392063515,634169399376672,7.313
328,1,634169478383952,634169489402075,11.018
329,0,634169564802143,634169574402412,9.600
330,1,634169650903047,634169660418169,9.515
331,0,634169737633080,634169745379211,7.746
332,1,634169824165939,634169835368303,11.202
333,0,634169911989242,634169920370686,8.381
334,1,634169998245603,634170010373090,12.127
335,0,634170085991314,634170095415835,9.425
336,1,634170171710701,634170180429877,8.719
337,0,634170258230882,634170265437048,7.206
338,1,634170344831609,634170355333775,10.502
339,0,634170431140978,634170436398858,5.258
340,1,634170518029653,634170526370898,8.341
341,0,634170604675028,634170611355727,6.681
342,1,634170691379456,634170701376458,9.997
343,0,634170778421898,634170786395579,7.974
344,1,634170866629767,634170876394663,9.765
