# present_mode=fifo toggle_frames=24 monitor=1
# timestamps are CLOCK_MONOTONIC nanoseconds
toggle_idx,frame_idx,white,t_cmd_ns,t_present_ret_ns
166,3984,1,633920228627957,633920232776741
167,4008,0,633920328650036,633920332751857
168,4032,1,633920428617158,633920432785657
169,4056,0,633920528617580,633920532779435
170,4080,1,633920628637118,633920632740731
171,4104,0,633920728637217,633920732767374
172,4128,1,633920828606761,633920832797391
173,4152,0,633920928583529,633920932768600
174,4176,1,633921028637734,633921032781793
175,4200,0,633921128593392,633921132763122
176,4224,1,633921228635583,633921232788796
177,4248,0,633921330252403,633921332751709
178,4272,1,633921428601343,633921432758996
179,4296,0,633921528625554,633921532753636
180,4320,1,633921628587967,633921632756651
181,4344,0,633921728642455,633921732776499
182,4368,1,633921828614081,633921833586984
183,4392,0,633921928617718,633921932793288
184,4416,1,633922028587787,633922032747626
185,4440,0,633922128591713,633922132745813
186,4464,1,633922228529769,633922232774996
187,4488,0,633922328585772,633922332763089
188,4512,1,633922428581312,633922432764395
189,4536,0,633922528588621,633922532736778
190,4560,1,633922628575665,633922632738985
191,4584,0,633922728516602,633922732677001
192,4608,1,633922828520142,633922832705314
193,4632,0,633922928543066,633922932755761
194,4656,1,633923028518025,633923034108945
195,4680,0,633923128512343,633923132743155
196,4704,1,633923228508622,633923232669668
197,4728,0,633923328490171,633923332678078
198,4752,1,633923428477380,633923432695440
199,4776,0,633923528500661,633923532688707
200,4800,1,633923628521077,633923632693190
201,4824,0,633923728524142,633923732672043
202,4848,1,633923828507485,633923832653983
203,4872,0,633923928494476,633923932675758
204,4896,1,633924028479079,633924032658605
205,4920,0,633924129166706,633924132675265
206,4944,1,633924228491877,633924232674881
207,4968,0,633924328498292,633924332669776
208,4992,1,633924428507942,633924432656412
209,5016,0,633924528515009,633924532666773
210,5040,1,633924628501905,633924632662431
211,5064,0,633924728506844,633924732667935
212,5088,1,633924828512981,633924832653164
213,5112,0,633924928507519,633924932658920
214,5136,1,633925028501037,633925032659809
215,5160,0,633925128489881,633925132635558
216,5184,1,633925228496704,633925232643592
217,5208,0,633925328491050,633925332635495
218,5232,1,633925428496656,633925432677613
219,5256,0,633925528478082,633925532611913
