toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
161,0,633779557140715,633779580984631,23.844
162,1,633779657820010,633779683971472,26.151
163,0,633779759315266,633779780934621,21.619
164,1,633779858399474,633779883908752,25.509
165,0,633779960583019,633779980909668,20.327
166,1,633780060922537,633780083965037,23.043
167,0,633780162354622,633780180968742,18.614
168,1,633780263567676,633780283992628,20.425
169,0,633780363993781,633780381008968,17.015
170,1,633780464267418,633780484007679,19.740
171,0,633780565892348,633780580949049,15.057
172,1,633780664983412,633780684014434,19.031
173,0,633780765761353,633780780978607,15.217
174,1,633780865345230,633780883965891,18.621
175,0,633780966620503,633780981022685,14.402
176,1,633781067678735,633781083996816,16.318
177,0,633781166747601,633781180980124,14.233
178,1,633781266721376,633781283980785,17.259
179,0,633781367287737,633781380952074,13.664
180,1,633781466970470,633781483962365,16.992
181,0,633781566956723,633781580947546,13.991
182,1,633781667470661,633781684018035,16.547
183,0,633781767975874,633781780961302,12.985
184,1,633781867983561,633781887975457,19.992
185,0,633781969432918,633781980940171,11.507
186,1,633782070379695,633782083946199,13.567
187,0,633782170014868,633782180931543,10.917
188,1,633782270437411,633782283975611,13.538
189,0,633782370593213,633782380982968,10.390
190,1,633782471205376,633782483961261,12.756
191,0,633782571274594,633782580915146,9.641
192,1,633782671918990,633782683971923,12.053
193,0,633782772623167,633782780920108,8.297
194,1,633782871643485,633782883920079,12.277
195,0,633782974427338,633782993981338,19.554
196,1,633783074672628,633783096026808,21.354
197,0,633783175575749,633783193949285,18.374
198,1,633783276608965,633783295942431,19.333
199,0,633783375667725,633783393969912,18.302
200,1,633783476424520,633783495985486,19.561
201,0,633783576029295,633783593895427,17.866
202,1,633783676561701,633783695986163,19.424
203,0,633783777135937,633783793983698,16.848
204,1,633783876446442,633783896004247,19.558
205,0,633783978035489,633783997948970,19.913
206,1,633784077953025,633784095934755,17.982
207,0,633784177909953,633784197948878,20.039
208,1,633784279477052,633784300883414,21.406
209,0,633784378798945,633784397950133,19.151
210,1,633784479262269,633784500865653,21.603
211,0,633784578963509,633784597970161,19.007
212,1,633784679655553,633784700606566,20.951
213,0,633784780385979,633784797967016,17.581
214,1,633784880298620,633784900781888,20.483
215,0,633784981663753,633784997950095,16.286
216,1,633785081600996,633785100755585,19.155
217,0,633785182221137,633785197959884,15.739
218,1,633785282127722,633785299952365,17.825
219,0,633785381946957,633785397959333,16.012
220,1,633785482877105,633785500039799,17.163
