toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
161,0,634508825855111,634508835527715,9.673
162,1,634508925859023,634508937543009,11.684
163,0,634509025847957,634509035530521,9.683
164,1,634509125847571,634509137548129,11.701
165,0,634509226042541,634509235442119,9.400
166,1,634509326073510,634509337559403,11.486
167,0,634509426104514,634509435472338,9.368
168,1,634509526112803,634509537496908,11.384
169,0,634509626110314,634509635453256,9.343
170,1,634509726073760,634509737561588,11.488
171,0,634509826034591,634509835469350,9.435
172,1,634509926085127,634509937540559,11.455
173,0,634510026095898,634510035470007,9.374
174,1,634510126120547,634510137533626,11.413
175,0,634510226259320,634510235387325,9.128
176,1,634510326205269,634510337438545,11.233
177,0,634510426227472,634510435525870,9.298
178,1,634510526226996,634510537528053,11.301
179,0,634510626243599,634510635532107,9.289
180,1,634510726250720,634510737498868,11.248
181,0,634510826273510,634510835540235,9.267
182,1,634510926278596,634510937601238,11.323
183,0,634511026263785,634511035531612,9.268
184,1,634511126288988,634511142117365,15.828
185,0,634511226343514,634511235487127,9.144
186,1,634511326256156,634511337570633,11.314
187,0,634511426249186,634511435492852,9.244
188,1,634511526249333,634511537488217,11.239
189,0,634511626291404,634511639568552,13.277
190,1,634511726292159,634511737564687,11.273
191,0,634511826293794,634511835550759,9.257
192,1,634511926292774,634511941639275,15.347
193,0,634512026256168,634512035476706,9.221
194,1,634512130069193,634512137483851,7.415
195,0,634512230012346,634512235413416,5.401
196,1,634512330065431,634512337554219,7.489
197,0,634512430047799,634512439539216,9.491
198,1,634512530044167,634512541556851,11.513
199,0,634512630101356,634512639521365,9.420
200,1,634512730088723,634512741566957,11.478
201,0,634512830091250,634512839592461,9.501
202,1,634512930062938,634512946533941,16.471
203,0,634513030074380,634513039472355,9.398
204,1,634513130166735,634513141530208,11.363
205,0,634513230159338,634513243475791,13.316
206,1,634513330068011,634513341570423,11.502
207,0,634513430103504,634513439494260,9.391
208,1,634513530144066,634513541600319,11.456
209,0,634513630163478,634513639596044,9.433
210,1,634513730114514,634513741542518,11.428
211,0,634513830142175,634513839423351,9.281
212,1,634513930168559,634513941534561,11.366
213,0,634514029926411,634514039449943,9.524
214,1,634514129958701,634514141498187,11.539
